pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_facility,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,1,Radial Velocity,2007,Xinglong Station,93.1846,1.9238,-1.9238
11 UMi b,11 UMi,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,125.321,1.9765,-1.9765
14 And b,14 And,1,Radial Velocity,2008,Okayama Astrophysical Observatory,75.4392,0.714,-0.714
14 Her b,14 Her,2,Radial Velocity,2002,W. M. Keck Observatory,17.9323,0.0073,-0.0073
16 Cyg B b,16 Cyg B,1,Radial Velocity,1996,Multiple Observatories,21.1397,0.011,-0.0111
17 Sco b,17 Sco,1,Radial Velocity,2020,Lick Observatory,124.953,2.59,-2.59
18 Del b,18 Del,1,Radial Velocity,2008,Okayama Astrophysical Observatory,76.222,0.6217,-0.6217
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008,Gemini Observatory,139.135,1.332,-1.307
24 Boo b,24 Boo,1,Radial Velocity,2018,Okayama Astrophysical Observatory,95.9863,0.63685,-0.63685
24 Sex b,24 Sex,2,Radial Velocity,2010,Lick Observatory,72.0691,0.6854,-0.6728
24 Sex c,24 Sex,2,Radial Velocity,2010,Lick Observatory,72.0691,0.6854,-0.6728
2M0437 b,2MASS J04372171+2651014,1,Imaging,2021,Subaru Telescope,128.484,1.196,-1.174
2M1510 b,2M1510 A,1,Radial Velocity,2025,European Southern Observatory,,,
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013,Paranal Observatory,47.2,3.1,-3.1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013,W. M. Keck Observatory,33.8281,0.0864,-0.086
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015,Cerro Tololo Inter-American Observatory,40.08964117,0.19404958,-0.19404958
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,2018,Mauna Kea Observatory,66.0613,0.4543,-0.4482
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,117.435,2.32,-2.233
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010,Hubble Space Telescope,120.423987,5.4783417,-5.4783417
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,100.862,0.603,-0.596
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004,Paranal Observatory,64.308,0.6569,-0.644
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,Eclipse Timing Variations,2015,Kepler,396.332,6.3885,-6.3885
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,34.1154,0.0811,-0.0807
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016,W. M. Keck Observatory,69.5737,0.1592,-0.1585
30 Ari B b,30 Ari B,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,44.657,0.1039,-0.1034
4 UMa b,4 UMa,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,73.4603,1.18605,-1.18605
42 Dra b,42 Dra,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,90.6545,1.3227,-1.3227
47 UMa b,47 UMa,3,Radial Velocity,1996,Lick Observatory,13.7967,0.0289,-0.0289
47 UMa c,47 UMa,3,Radial Velocity,2001,Lick Observatory,13.7967,0.0289,-0.0289
47 UMa d,47 UMa,3,Radial Velocity,2009,Lick Observatory,13.7967,0.0289,-0.0289
51 Eri b,51 Eri,1,Imaging,2015,Gemini Observatory,29.7575,0.1213,-0.1203
51 Peg b,51 Peg,1,Radial Velocity,1995,Haute-Provence Observatory,15.4614,0.0297,-0.0297
55 Cnc b,55 Cnc,5,Radial Velocity,1996,Lick Observatory,12.5855,0.0124,-0.0123
55 Cnc c,55 Cnc,5,Radial Velocity,2004,McDonald Observatory,12.5855,0.0124,-0.0123
55 Cnc d,55 Cnc,5,Radial Velocity,2002,Lick Observatory,12.5855,0.0124,-0.0123
55 Cnc e,55 Cnc,5,Radial Velocity,2004,McDonald Observatory,12.5855,0.0124,-0.0123
55 Cnc f,55 Cnc,5,Radial Velocity,2007,Multiple Observatories,12.5855,0.0124,-0.0123
6 Lyn b,6 Lyn,1,Radial Velocity,2008,Okayama Astrophysical Observatory,54.6599,0.2734,-0.2734
61 Vir b,61 Vir,3,Radial Velocity,2009,Multiple Observatories,8.50332,0.01737,-0.0173
